# Door Parts
11 exploded diagrams | BG5P Legacy GL EJ20E SOHC NA

## Parts by Diagram

### 600_01: FRONT DOOR PANEL
63319AC000 | CATCHER-DOOR,REAR x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
901000160 | FLANGE BOLT x08 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
045005160 | TAPPING SCREW-TRUSS HEAD
60102GA300 | STOPPER-REAR GATE x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
60152GA090 | PIN-DOOR CHECKER x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
902600003 | NUT x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
023706000 | FLANGE NUT
63302AC001 | CHECKER ASSEMBLY-REAR DOOR x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
61520AC030 | HINGE-REAR DOOR LOWER,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61520AC020 | HINGE-REAR DOOR LOWER,RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
63301AC001 | WEATHER STRIP-DOOR REAR OUTER RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25
63301AC011 | WEATHER STRIP-DOOR REAR OUTER LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25
62305FA000 | SCREW GROMMET x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
902600002 | NUT x12 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
62303FA000 | STABILIZER ASSEMBLY-OUTER x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63300AC020 | SASH COMPLETE-DOOR PARTITION RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63300AC030 | SASH COMPLETE-DOOR PARTITION,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63300AC000 | SASH ASSEMBLY-REAR DOOR FRONT RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63300AC010 | SASH ASSEMBLY-REAR DOOR FRONT LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
62304FA001 | STABILIZER ASSEMBLY-DOOR,INNER x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
904510047 | TAPPING SCREW-TRUSS HEAD x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63310AC010 | SEALING COVER-REAR DOOR x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.GL
010006160 | FLANGE BOLT-PILOT
901000165 | FLANGE BOLT x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
62307AC010 | CLIP-WEATHER STRIP,OUTER LEFT x06 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)

### 610_02: REAR DOOR PANEL
61400AC320 | PANEL ASSEMBLY-REAR DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61401AC200 | PANEL ASSEMBLY-REAR DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.2W.EJ20E +S.25 +W.2W +W.A/S +W.(25+OBK)
61520AC000 | HINGE-REAR DOOR UPPER,RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61520AC010 | HINGE-REAR DOOR UPPER,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61400AC330 | PANEL ASSEMBLY-REAR DOOR,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61401AC210 | PANEL ASSEMBLY-REAR DOOR,LEFT x01 | 02.1997 - 11.1998 | S.2W.EJ20E +S.25 +W.2W +W.A/S +W.(25+OBK)
63323AC000 | COVER-CATCHER,RIGHT x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
901270002 | BOLT & WASHER ASSEMBLY x06 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
63323AC010 | COVER-CATCHER,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63319AC000 | CATCHER-DOOR,REAR x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
901000160 | FLANGE BOLT x08 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
045005160 | TAPPING SCREW-TRUSS HEAD
60102GA300 | STOPPER-REAR GATE x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
60152GA090 | PIN-DOOR CHECKER x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
902600003 | NUT x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
023706000 | FLANGE NUT
63302AC001 | CHECKER ASSEMBLY-REAR DOOR x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
61520AC030 | HINGE-REAR DOOR LOWER,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
61520AC020 | HINGE-REAR DOOR LOWER,RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
63301AC001 | WEATHER STRIP-DOOR REAR OUTER RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25
